GeneID	285_D2	285_D5	285_D14	BM45_D2	BM45_D5	BM45_D14	DV10_D2	DV10_D5	DV10_D14	EC1118_D2	EC1118_D5	EC1118_D14	VIN13_D2	VIN13_D5	VIN13_D14	
YLR067C	249.848667	401.349333	162.234500	350.255333	644.615333	142.550000	354.727000	666.868667	237.955333	468.140333	460.676667	303.185000	276.670000	545.529667	186.185333	
YLR068W	220.659000	162.717000	92.134200	223.306333	273.155333	162.837500	256.579333	181.295067	66.797467	312.016333	140.098667	160.142333	290.448333	187.315667	73.300867	
YLR069C	894.802000	1255.363333	567.948500	893.400000	1266.630000	555.329500	921.093333	1799.123333	551.145333	1142.320000	1172.330000	905.599000	1243.386667	1292.360000	832.359667	
YLR070C	132.319800	227.470667	176.797000	181.982667	311.598667	234.324000	132.232667	577.062667	236.791333	147.419000	439.280667	231.123667	105.896600	349.941333	225.307667	
YLR071C	886.793333	1340.256667	814.363500	1115.013333	1691.733333	553.792000	911.967667	1908.210000	814.533667	1079.980333	1329.156667	797.011000	952.343667	1568.976667	820.685667	
YLR072W	304.826667	534.032000	593.472000	328.325333	646.690000	462.765500	326.523333	810.321667	638.275000	378.632333	625.982333	582.496667	380.264333	590.664667	674.656667	
YLR073C	100.510733	23.399300	13.485750	75.718900	35.003700	47.629300	95.012933	57.156833	27.416733	139.563000	61.615433	48.649100	154.755000	69.593067	19.947267	
YLR074C	1283.370000	1522.726667	572.995500	732.140667	1417.823333	350.485000	1335.380000	1361.393333	1134.813333	1130.504333	1164.026667	1017.358667	1451.096667	1319.403333	690.685333	
YLR075W	7846.266667	4841.956667	4123.105000	7285.763333	5045.076667	5368.025000	8895.436667	5476.770000	4186.083333	8238.580000	4048.476667	3169.440000	7428.333333	5521.163333	4293.956667	
YLR077W	864.829333	1200.663333	1493.410000	810.341667	1504.560000	1374.550000	853.802667	1960.913333	1754.143333	972.235667	1552.653333	2372.226667	769.443000	1272.296667	1488.096667	
YLR078C	996.474667	681.137667	556.540000	1030.545333	905.096333	357.341000	965.738333	998.817333	549.647000	1036.038667	693.108333	496.459667	869.160667	788.005667	581.121333	
YLR079W	155.409000	491.045333	326.610500	244.787667	711.287333	230.234000	281.208000	881.077667	322.023000	364.266667	627.736667	352.350000	325.220667	791.149667	368.196000	
YLR080W	447.129333	646.873333	656.710000	591.859333	842.982333	947.838500	863.344333	1399.190667	681.177667	772.152000	781.408667	989.132000	320.593667	843.056000	518.126000	
YLR081W	37.131200	48.966700	90.330050	44.373067	37.438300	120.746500	30.000867	94.775733	189.536333	42.495333	101.735733	189.646333	37.799267	90.681600	225.287000	
YLR082C	141.158667	267.902000	107.458000	125.300333	238.527333	116.472500	175.825000	303.483667	131.988333	159.234667	228.943000	245.012000	174.400000	243.694667	151.668267	
YLR083C	2903.506667	1018.078000	275.374000	1898.686667	814.539000	317.773000	2072.586667	857.906667	168.406667	1467.733333	603.676333	248.507667	1999.250000	696.177000	228.688333	
YLR084C	473.668333	259.612667	34.977600	725.960667	362.559667	70.829900	460.264333	460.042667	42.452000	622.571667	297.428667	102.069700	501.638667	337.355667	43.032967	
YLR085C	251.434000	666.657000	220.660000	360.693000	793.778000	215.260000	275.636667	926.278333	227.746667	341.971000	710.256667	309.305667	345.437000	799.513333	243.833000	
YLR086W	312.439667	470.174667	739.343500	284.410333	446.705333	488.225000	349.961333	623.608667	652.669333	323.211667	503.050667	564.445000	397.221333	419.097667	497.738333	
YLR087C	532.895333	466.899333	404.899000	687.975333	430.535000	450.886500	567.116000	757.108000	394.264667	657.032000	531.761000	636.701000	591.967000	467.816333	567.702667	
YLR088W	997.586000	623.545667	149.406500	1237.356667	741.840667	129.849500	1053.505667	927.594333	166.027667	1138.016667	675.596333	193.840667	848.484667	590.511333	134.025000	
YLR089C	2260.990000	698.365000	574.648000	3295.063333	1030.356000	487.764500	1030.332333	851.155667	329.446000	1422.076667	570.735333	434.966667	2481.213333	695.203667	380.228333	
YLR090W	229.859000	295.595667	429.349000	272.559333	385.256667	313.684000	209.957000	476.408000	273.880000	247.624000	346.729667	252.137000	318.079667	383.527000	286.286000	
YLR091W	91.098567	143.961667	133.136500	81.749433	122.702667	106.197500	53.138200	190.948333	132.447333	58.080667	128.432000	101.944267	94.774400	150.629333	110.704267	
YLR092W	3829.536667	5450.823333	4828.295000	6532.976667	7415.193333	7344.680000	4603.036667	7557.733333	3615.806667	3919.823333	5520.300000	3144.960000	3199.156667	4733.536667	3386.026667	
YLR093C	639.356333	1172.560000	1251.960000	574.206000	1529.446667	1275.740000	616.375667	1099.284333	934.302000	518.328000	850.922667	753.410000	615.737333	1448.640000	965.006667	
YLR094C	21.262533	80.713333	134.438500	220.093333	417.581667	133.272500	33.830533	230.532667	74.065733	141.455667	118.286533	42.249300	14.578833	119.095233	57.540567	
