IDENTIFIER	NoMGd1_4	NoMGd2_4	NoMGd3_4	NoMGd1_12	NoMGd2_12	NoMGd3_12	NoMGd1_24	NoMGd2_24	NoMGd3_24	MGd1_4	MGd2_4	MGd3_4	MGd1_12	MGd2_12	MGd3_12	MGd1_24	MGd2_24	MGd3_24
TAF10	2116.3	2879.5	2373.0	1904.3	2627.5	2704.0	1947.4	2391.2	2560.5	2267.0	2927.7	2007.9	2428.3	2588.6	2874.1	2087.0	2608.8	2832.9
C1D	378.9	219.8	191.9	221.8	248.7	240.2	199.3	236.8	244.2	337.2	254.3	232.0	193.6	82.6	189.0	201.9	191.2	281.1
NONO	4450.9	3934.5	4443.8	4912.7	4578.5	4425.8	5577.3	4247.0	4445.9	4859.6	4437.3	3928.6	4984.3	4493.9	4390.9	4350.5	4770.9	4238.6
LOC101929240	1190.1	1130.8	1415.6	1184.4	1360.5	1418.2	1426.3	1376.7	1359.7	1064.6	1121.6	1727.4	1250.6	1157.9	1674.1	1316.0	1029.1	1776.6
RHOA	4080.4	2182.0	2389.2	2699.7	2727.7	2622.6	4288.2	1990.9	2857.4	3431.5	2388.5	3230.5	3278.0	1959.3	2193.2	3811.1	3221.1	2700.4
RNPS1	1494.1	1167.6	1440.7	1343.1	868.8	1070.2	1428.0	1542.2	1133.2	1378.5	926.7	1199.3	1240.2	1129.8	1251.5	1675.1	1355.1	1082.3
RPS24	13876.7	15204.0	14008.4	14120.4	14864.7	13074.7	13952.0	14840.0	14273.5	13142.3	14997.8	13541.7	13309.7	17114.7	13329.2	12914.4	13784.0	15735.9
RPL30	18685.9	19139.8	18039.7	17901.6	19990.3	18340.7	19988.8	18794.5	19076.7	18103.6	20164.0	18558.2	19101.4	23858.1	16072.2	19448.3	19915.0	20903.4
NPM1	6365.1	4737.8	4414.3	5433.5	6178.5	5239.0	6672.3	5865.5	4576.3	6444.3	5814.3	3817.9	6638.3	3358.9	4598.8	6585.4	6522.6	4906.7
HSP90AB1	5348.1	6516.5	6178.3	5801.6	6078.2	5873.7	5522.9	6488.6	4584.8	4696.0	6792.8	5899.9	5893.5	7361.5	7511.8	5256.6	5515.1	5943.5
MIR3620	3275.4	2325.7	2357.5	2916.2	2733.9	2970.0	3594.7	2693.6	2234.7	3698.6	2324.4	2023.5	2527.1	2261.6	1847.4	3382.2	2724.0	2211.5
IK	784.1	696.4	582.8	274.7	806.8	678.0	622.5	653.6	526.2	745.3	688.3	590.0	628.7	468.7	778.7	640.4	504.7	765.4
SNX3	1127.1	810.8	837.8	1055.1	911.7	1168.6	753.6	963.4	1401.0	1170.3	981.4	1244.6	871.4	719.0	810.5	841.2	1116.3	1062.1
CANX	5812.4	4930.7	5030.0	5335.0	5293.5	5142.7	4958.9	4922.0	4239.6	5176.6	5398.3	5576.9	5053.7	6285.5	4318.0	5366.0	4748.2	4413.4
SART3	212.6	125.4	176.1	159.9	59.4	234.3	146.7	167.6	146.4	76.4	220.3	190.2	126.3	212.0	76.2	172.5	146.0	119.4
CNPPD1	270.3	322.7	50.0	142.4	279.6	126.2	301.5	150.1	295.5	159.7	292.5	335.4	200.1	261.4	238.9	287.6	179.5	239.3
SMNDC1	369.0	228.5	304.7	505.4	286.2	251.2	351.6	128.9	425.1	462.7	50.0	451.4	431.1	241.3	305.6	475.9	477.5	525.6
HNRNPM	764.6	714.8	875.9	916.2	860.0	732.2	865.4	838.8	678.4	878.8	487.8	764.8	846.8	959.4	1002.9	849.1	907.7	803.6
HNRNPD	678.8	491.6	421.4	665.3	456.8	365.6	559.2	444.8	412.7	1025.4	402.4	472.0	715.4	95.5	294.5	1002.4	701.5	493.8
RPL14	2950.6	4073.9	3901.4	3754.8	4024.9	2882.9	3400.5	3199.7	3176.6	2755.2	4108.5	4015.7	3339.6	4333.0	4385.8	3036.6	3966.3	4250.3
GUK1	294.4	442.7	397.9	333.6	341.4	335.5	398.8	558.5	289.5	248.5	316.8	430.9	335.8	294.3	526.2	431.4	431.8	509.7
KXD1	444.0	651.1	585.2	478.7	674.5	555.8	704.5	671.7	368.4	534.5	529.6	523.4	508.6	533.7	726.1	406.7	600.9	620.2
OAZ1	2780.1	2210.5	2516.6	2898.9	2963.1	2357.0	3232.2	2781.1	2518.0	3007.7	2394.1	2043.3	2876.2	2342.3	2581.5	2905.4	3185.5	2702.1
ATP6V0B	614.2	766.4	876.6	770.1	859.1	615.8	877.1	745.9	614.2	924.3	992.9	599.8	882.3	1038.0	866.4	910.2	714.8	696.0
KARS	1400.3	1457.6	2007.3	1404.2	1706.0	1608.1	1295.9	1353.0	1515.2	1472.5	1774.1	1982.6	1501.7	1482.8	1725.6	1640.5	1689.0	2012.0
H3F3AP4	2751.4	1611.2	2305.6	3597.6	2734.8	2668.3	2621.2	2156.2	2680.5	3485.6	2553.0	2581.8	3319.3	1229.8	2064.8	3173.6	2980.6	1971.2
RPS6	18266.6	16802.4	15419.1	17055.3	17688.0	15871.0	16875.4	16374.1	15240.8	15716.0	18220.5	16495.8	17743.3	17088.3	15829.7	18209.8	17981.6	18316.0
RPS7	11723.8	12746.6	10760.0	13501.6	13880.8	10723.1	14002.5	12552.6	14329.6	12882.5	13520.1	11941.4	12523.4	13071.5	11716.3	11022.1	13849.2	15042.8
USP22	1126.5	700.4	1092.8	717.1	1043.4	1083.0	998.0	857.3	961.6	851.4	1007.4	847.4	914.0	1082.7	1095.0	1040.8	1099.7	1217.5
C11orf58	1934.3	1075.8	1074.8	1344.5	1341.5	1343.9	1473.2	1153.4	1491.5	1783.1	1341.9	1004.9	1467.3	860.9	926.6	1640.7	1538.6	959.2
TCEB2	2410.3	2728.8	2802.3	2058.3	2780.7	2232.6	2867.6	2150.6	2431.0	2118.4	2617.1	2668.0	2476.7	3208.6	3281.9	2290.2	2262.0	2883.6
COX4I1	2523.7	2594.0	2014.6	2349.1	3085.4	2111.8	2580.5	2919.9	2080.4	2037.5	2883.6	3047.0	2454.3	3703.2	2637.1	1962.4	2487.4	2214.3
TMED2	3318.7	2180.2	2472.3	3045.1	3038.2	2279.2	3004.5	2237.8	2704.1	3194.3	2616.9	2445.5	2937.7	1909.5	1802.6	2933.8	2480.1	2174.8
NBEAL1	16785.2	19950.3	19934.3	17765.4	17741.7	19206.4	16831.9	19225.3	15303.0	17904.5	19572.2	17728.6	19899.5	22489.8	21750.7	17294.5	20303.5	18842.7
SNORD18C	8023.1	9540.2	7803.3	9679.3	9900.1	6801.4	7839.3	9065.5	7552.2	8264.0	8373.3	8291.5	8353.2	9686.9	8425.5	8156.9	8821.3	7754.3
FNTA	1025.7	928.7	1106.0	1119.6	1083.2	896.3	1141.0	828.6	1077.1	1025.8	1211.5	983.0	1114.0	825.4	766.0	1400.8	1031.9	1162.6
RPS25	3657.5	2614.4	2887.0	3776.3	3255.6	3039.3	3453.5	2480.2	3453.6	4906.4	2368.7	2754.2	3748.6	1362.5	2066.3	3856.2	3563.5	3346.0
RPL37	9866.9	8515.3	10692.0	10550.0	11568.2	9857.6	9063.4	9171.8	10328.8	9564.2	10885.6	9880.0	10216.7	8313.6	7427.0	9911.4	9370.9	9123.0
HINT1	3685.9	3536.4	3059.2	3073.2	3887.9	2610.1	3222.9	2429.8	3311.3	3380.6	3152.0	3351.1	3358.7	2371.6	2448.1	3336.7	3424.5	3102.6
EEF2	6714.0	8722.9	7749.4	7132.6	8281.8	6878.2	7315.8	7066.7	5917.0	5492.7	9599.5	7422.1	8135.2	9431.9	7301.0	6978.7	9246.7	7129.8
RPS10	24708.3	26411.0	24140.0	19915.5	23836.7	25841.7	22262.5	26609.5	22742.4	18867.1	26319.6	23904.8	24898.8	29944.2	28077.6	23901.1	23817.8	27030.0
ATP6V0E1	1135.2	1070.7	1132.0	1277.0	1224.9	1096.1	1119.3	1328.6	1155.6	1261.7	911.6	1060.7	1224.9	862.5	1051.3	1356.8	1205.4	1220.3
