ID_REF	Mann1_4hr	Mann2_4hr	Mann3_4hr	Mann1_12hr	Mann2_12hr	Mann3_12hr	Mann1_24hr	Mann2_24hr	Mann3_24hr	MGd1_4hr	MGd2_4hr	MGd3_4hr	MGd1_12hr	MGd2_12hr	MGd3_12hr	MGd1_24hr	MGd2_24hr	MGd3_24hr
217852_s_at	974.6	560.0	589.6	765.5	946.0	568.6	1060.2	588.3	852.0	1016.2	871.7	807.3	839.4	522.6	466.4	772.1	813.6	749.0
221806_s_at	692.5	675.1	944.8	750.6	640.8	689.9	681.0	527.0	704.8	706.5	741.4	738.7	844.6	690.9	822.7	804.7	530.4	630.8
218717_s_at	263.4	312.4	234.6	178.7	94.7	470.8	332.7	244.9	288.3	302.8	110.8	286.1	292.6	209.5	388.9	331.5	292.2	392.7
213008_at	67.1	194.2	62.7	183.2	50.0	164.2	80.4	50.0	77.6	49.0	50.0	233.7	53.5	50.0	81.6	111.4	118.1	172.6
218562_s_at	49.0	50.0	51.8	125.2	108.7	257.1	101.4	93.6	50.0	49.0	159.3	81.0	149.3	129.0	50.0	141.1	229.1	50.0
218550_s_at	129.8	50.0	71.4	240.4	201.0	50.0	118.1	109.4	157.0	74.8	52.2	50.0	144.9	174.5	89.5	140.9	152.0	202.8
219268_at	132.6	269.6	180.4	200.9	85.9	50.0	50.0	120.8	118.5	49.0	229.4	127.7	162.1	50.0	146.5	75.7	144.1	121.1
218824_at	195.2	216.4	281.0	313.2	235.0	293.5	243.1	145.7	382.7	181.6	197.9	281.2	189.7	208.8	330.4	312.1	187.5	348.6
207749_s_at	78.3	299.2	159.3	219.2	66.9	219.1	126.5	57.2	169.6	81.9	100.5	144.8	59.7	231.0	50.0	232.8	50.0	62.8
214812_s_at	851.7	811.0	652.1	980.3	887.9	747.9	1136.5	811.3	785.1	894.1	679.6	609.9	872.0	947.6	664.6	1095.7	848.2	842.6
218340_s_at	169.2	102.3	50.0	50.0	50.0	50.0	175.9	168.1	50.0	137.8	50.0	51.5	209.0	50.0	99.3	146.9	88.9	50.0
56821_at	89.0	257.9	275.0	117.7	50.4	123.8	125.2	50.0	152.2	128.4	65.4	66.9	133.8	212.0	195.8	96.6	193.9	131.8
221090_s_at	208.8	131.4	179.9	339.7	292.3	328.9	193.6	369.5	336.2	109.7	256.7	279.8	197.1	202.6	322.9	205.9	215.2	245.1
216105_x_at	337.1	524.6	294.6	468.9	464.4	306.8	474.2	517.8	437.0	356.0	500.4	481.5	409.0	639.2	412.7	341.5	418.9	617.3
219525_at	164.6	159.7	284.1	352.3	183.9	328.3	328.8	252.6	199.8	142.1	211.3	405.6	193.7	268.9	325.5	236.6	406.5	299.8
217935_s_at	235.1	122.9	178.6	379.1	186.9	50.0	98.4	86.5	187.7	168.2	212.4	251.4	215.0	50.0	199.1	229.3	281.1	159.2
218125_s_at	135.9	363.3	138.6	253.0	230.2	108.4	221.3	107.8	248.6	341.5	161.5	221.7	280.9	184.9	140.8	258.4	172.8	243.2
219502_at	49.0	50.0	175.9	161.6	101.8	179.4	64.5	72.5	237.7	144.6	50.0	179.6	51.3	134.8	50.0	50.0	182.3	204.1
202187_s_at	49.0	371.2	256.1	402.2	342.7	368.2	382.7	397.5	334.6	328.9	225.6	264.0	310.3	151.2	370.7	430.3	343.2	279.6
212406_s_at	253.1	50.0	275.7	368.1	215.1	225.8	383.8	182.6	152.2	297.7	288.7	388.5	233.7	195.0	198.8	272.0	247.2	179.0
218659_at	477.7	277.2	833.5	519.3	538.0	444.0	572.0	481.7	692.5	478.5	377.1	701.0	531.9	694.2	595.7	568.0	458.1	591.5
218347_at	360.4	359.1	330.1	314.1	299.0	373.7	362.5	308.2	510.4	253.1	266.5	391.7	330.6	332.2	491.4	395.5	291.9	433.3
218615_s_at	206.3	276.5	165.0	160.7	122.0	261.5	177.2	104.3	107.0	256.5	237.5	133.3	187.5	173.0	228.6	125.3	184.6	156.4
217761_at	358.3	227.2	481.1	327.1	222.7	402.8	375.1	255.3	343.9	415.5	422.9	533.0	439.3	253.1	403.8	366.4	553.0	348.9
218552_at	207.3	368.7	316.3	238.3	230.8	364.2	267.7	439.2	257.9	311.3	279.5	268.4	267.4	345.3	301.5	278.1	443.7	340.4
201877_s_at	339.3	279.0	211.2	242.9	329.8	265.8	325.3	247.0	193.2	326.7	279.1	242.6	333.3	314.1	234.4	294.5	199.2	314.8
219347_at	77.5	232.6	104.6	196.1	204.9	302.3	151.8	247.7	154.0	84.4	111.6	290.6	125.9	143.8	151.7	199.9	203.1	201.8
221688_s_at	852.2	915.3	795.5	587.7	855.6	923.7	765.5	970.8	620.5	595.7	657.0	767.9	728.7	892.9	1131.8	708.9	708.4	919.4
219126_at	454.7	511.8	383.2	427.3	378.3	479.6	401.7	254.3	421.3	457.8	578.6	430.5	582.0	449.5	353.1	556.7	496.1	274.4
221707_s_at	178.9	50.0	158.4	87.5	50.0	175.5	136.4	216.4	82.5	90.2	171.7	50.0	50.0	122.2	161.9	50.0	109.9	50.0
218949_s_at	297.0	123.4	263.6	207.2	176.3	146.9	204.5	226.6	168.8	176.7	168.7	109.9	113.2	180.6	99.0	257.2	226.9	205.3
202513_s_at	344.8	312.4	363.7	275.2	148.5	416.2	317.6	363.2	340.2	352.8	477.8	470.5	312.0	463.4	542.7	330.6	221.7	238.4
